path|file_name|extension|size_bytes|git_status|ignored_by|module|area|source_set|probable_owner|file_role|created_or_first_seen_commit|last_meaningful_commit|current_references|classification|recommended_disposition|confidence|risk_if_removed|evidence|superseded_by|notes
.dockerignore|.dockerignore||534|tracked||root|root|||VCS/config hygiene|4359847|4359847||ACTIVE_BUILD|KEEP_IMMUTABLE|VERIFIED|HIGH|VCS/config hygiene||Repository configuration
.editorconfig|.editorconfig||145|tracked||root|root|||VCS/config hygiene|207ce46|207ce46||ACTIVE_BUILD|KEEP_IMMUTABLE|VERIFIED|HIGH|VCS/config hygiene||Repository configuration
.gitattributes|.gitattributes||54|tracked||root|root|||VCS/config hygiene|207ce46|207ce46||ACTIVE_BUILD|KEEP_IMMUTABLE|VERIFIED|HIGH|VCS/config hygiene||Repository configuration
.github/workflows/ci-cd.yml|ci-cd.yml|.yml|10181|tracked||.github|workflows/ci-cd.yml|||CI/CD pipeline|4c1e656|fb7943d||ACTIVE_OPERATIONS|KEEP_IMMUTABLE|VERIFIED|HIGH|CI/CD pipeline||GitHub Actions
.github/workflows/error-monitor.yml|error-monitor.yml|.yml|960|tracked||.github|workflows/error-monitor.yml|||CI/CD pipeline|b9391a5|1aa1f65||ACTIVE_OPERATIONS|KEEP_IMMUTABLE|VERIFIED|HIGH|CI/CD pipeline||GitHub Actions
.github/workflows/pr-review.yml|pr-review.yml|.yml|3650|tracked||.github|workflows/pr-review.yml|||CI/CD pipeline|b9391a5|fbc90fd||ACTIVE_OPERATIONS|KEEP_IMMUTABLE|VERIFIED|HIGH|CI/CD pipeline||GitHub Actions
.gitignore|.gitignore||2067|tracked||root|root|||VCS/config hygiene|207ce46|7c08bb3||ACTIVE_BUILD|KEEP_IMMUTABLE|VERIFIED|HIGH|VCS/config hygiene||Repository configuration
AGENTS.md|AGENTS.md|.md|3603|tracked||root|root|||Referenced by CLAUDE.md|207ce46|299913e||ACTIVE_AGENT_INSTRUCTION|KEEP_IMMUTABLE|VERIFIED|HIGH|Referenced by CLAUDE.md||Agent instructions and conventions
BACKLOG.md|BACKLOG.md|.md|1865|tracked||root|root|||Active project backlog|431c466|431c466||ACTIVE_DOCUMENTATION|KEEP|VERIFIED|LOW|Active project backlog||Task tracking
CLAUDE.md|CLAUDE.md|.md|7195|tracked||root|root|||Referenced by CLAUDE.md|9c0fa5b|333ac27||ACTIVE_AGENT_INSTRUCTION|KEEP_IMMUTABLE|VERIFIED|HIGH|Referenced by CLAUDE.md||Project-level agent instructions
Dockerfile|Dockerfile||359|tracked||root|root|||Container build definition|30b9511|3a0f935||ACTIVE_OPERATIONS|KEEP|VERIFIED|HIGH|Container build definition||Docker image
HELP.md|HELP.md|.md|1247|tracked||root|root|||Spring Boot generated HELP|207ce46|3396b11||HISTORICAL_REQUIRED|KEEP|HIGH|LOW|Spring Boot generated HELP||Spring Boot initializr artifact
META-INF/services/java.nio.file.spi.FileSystemProvider|java.nio.file.spi.FileSystemProvider|.FileSystemProvider|66|tracked||META-INF|META-INF|||SPI service loader registration|8b94d5e|8b94d5e||ACTIVE_BUILD|KEEP|VERIFIED|HIGH|SPI service loader registration||Nested JAR filesystem provider
README.md|README.md|.md|8743|tracked||root|root|||Root-level README|02c46aa|299913e||ACTIVE_DOCUMENTATION|KEEP|VERIFIED|HIGH|Root-level README||Project documentation
build.gradle|build.gradle|.gradle|9621|tracked||root|root|||Root build configuration|207ce46|ff01f3b||ACTIVE_BUILD|KEEP_IMMUTABLE|VERIFIED|CRITICAL|Root build configuration||Gradle build
config/application.yaml|application.yaml|.yaml|2325|tracked||config|config|||Local runtime config override|207ce46|fe2cf72||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Local runtime config override||Local config overrides
deploy/.env.example|.env.example|.example|3657|tracked||deploy|.env.example|||Deploy file: .env.example|30b9511|eadcbda||ACTIVE_OPERATIONS|KEEP|HIGH|MEDIUM|Deploy file: .env.example||Deployment resource
deploy/README.md|README.md|.md|1239|tracked||deploy|README.md|||Deployment documentation|30b9511|610d109||ACTIVE_DOCUMENTATION|KEEP|HIGH|LOW|Deployment documentation||Deploy readme
deploy/docker-compose.yml|docker-compose.yml|.yml|3675|tracked||deploy|docker-compose.yml|||Deployment compose|30b9511|bb9f165||ACTIVE_OPERATIONS|KEEP|VERIFIED|HIGH|Deployment compose||Deployment orchestration
deploy/observability/README.md|README.md|.md|3134|tracked||deploy|observability/README.md|||Deployment documentation|2483502|052a49d||ACTIVE_DOCUMENTATION|KEEP|HIGH|LOW|Deployment documentation||Deploy readme
deploy/observability/docker-compose.yml|docker-compose.yml|.yml|3746|tracked||deploy|observability/docker-compose.yml|||Deployment compose|2483502|fe2cf72||ACTIVE_OPERATIONS|KEEP|VERIFIED|HIGH|Deployment compose||Deployment orchestration
deploy/observability/grafana/dashboards/funding-platform-main-engine-runtime.json|funding-platform-main-engine-runtime.json|.json|17150|tracked||deploy|observability/grafana/dashboards/funding-platform-main-engine-runtime.json|||Grafana dashboard: funding-platform-main-engine-runtime.json|307e9fd|0011e36||ACTIVE_OPERATIONS|KEEP|VERIFIED|MEDIUM|Grafana dashboard: funding-platform-main-engine-runtime.json||Observability dashboard
deploy/observability/grafana/dashboards/funding-platform-observability.json|funding-platform-observability.json|.json|16742|tracked||deploy|observability/grafana/dashboards/funding-platform-observability.json|||Grafana dashboard: funding-platform-observability.json|2483502|0011e36||ACTIVE_OPERATIONS|KEEP|VERIFIED|MEDIUM|Grafana dashboard: funding-platform-observability.json||Observability dashboard
deploy/observability/grafana/dashboards/funding-platform-venues-latency.json|funding-platform-venues-latency.json|.json|8583|tracked||deploy|observability/grafana/dashboards/funding-platform-venues-latency.json|||Grafana dashboard: funding-platform-venues-latency.json|052a49d|0011e36||ACTIVE_OPERATIONS|KEEP|VERIFIED|MEDIUM|Grafana dashboard: funding-platform-venues-latency.json||Observability dashboard
deploy/observability/grafana/provisioning/dashboards/dashboards.yml|dashboards.yml|.yml|241|tracked||deploy|observability/grafana/provisioning/dashboards/dashboards.yml|||Grafana provisioning|2483502|2483502||ACTIVE_OPERATIONS|KEEP|VERIFIED|MEDIUM|Grafana provisioning||Grafana auto-config
deploy/observability/grafana/provisioning/datasources/datasource.yml|datasource.yml|.yml|194|tracked||deploy|observability/grafana/provisioning/datasources/datasource.yml|||Grafana provisioning|2483502|2483502||ACTIVE_OPERATIONS|KEEP|VERIFIED|MEDIUM|Grafana provisioning||Grafana auto-config
deploy/observability/prometheus/prometheus.yml|prometheus.yml|.yml|389|tracked||deploy|observability/prometheus/prometheus.yml|||Prometheus config|2483502|307e9fd||ACTIVE_OPERATIONS|KEEP|VERIFIED|MEDIUM|Prometheus config||Monitoring config
docker-compose.yml|docker-compose.yml|.yml|6613|tracked||root|root|||Local dev orchestration|30b9511|ad4bd22||ACTIVE_OPERATIONS|KEEP|VERIFIED|HIGH|Local dev orchestration||Docker Compose
docs/00-current-state.md|00-current-state.md|.md|5543|tracked||docs|00-current-state.md|||Architecture doc: 00-current-state.md|839f1b9|299913e||ACTIVE_DOCUMENTATION|KEEP|HIGH|MEDIUM|Architecture doc: 00-current-state.md||System documentation
docs/01-system-flow.md|01-system-flow.md|.md|3409|tracked||docs|01-system-flow.md|||Architecture doc: 01-system-flow.md|839f1b9|893126a||ACTIVE_DOCUMENTATION|KEEP|HIGH|MEDIUM|Architecture doc: 01-system-flow.md||System documentation
docs/02-modules.md|02-modules.md|.md|1747|tracked||docs|02-modules.md|||Architecture doc: 02-modules.md|839f1b9|299913e||ACTIVE_DOCUMENTATION|KEEP|HIGH|MEDIUM|Architecture doc: 02-modules.md||System documentation
docs/03-runtime-config.md|03-runtime-config.md|.md|8039|tracked||docs|03-runtime-config.md|||Architecture doc: 03-runtime-config.md|839f1b9|893126a||ACTIVE_DOCUMENTATION|KEEP|HIGH|MEDIUM|Architecture doc: 03-runtime-config.md||System documentation
docs/04-api-surface.md|04-api-surface.md|.md|5279|tracked||docs|04-api-surface.md|||Architecture doc: 04-api-surface.md|839f1b9|893126a||ACTIVE_DOCUMENTATION|KEEP|HIGH|MEDIUM|Architecture doc: 04-api-surface.md||System documentation
docs/05-venue-metadata-and-latency.md|05-venue-metadata-and-latency.md|.md|3357|tracked||docs|05-venue-metadata-and-latency.md|||Architecture doc: 05-venue-metadata-and-latency.md|839f1b9|3f999ea||ACTIVE_DOCUMENTATION|KEEP|HIGH|MEDIUM|Architecture doc: 05-venue-metadata-and-latency.md||System documentation
docs/06-data-model.md|06-data-model.md|.md|4329|tracked||docs|06-data-model.md|||Architecture doc: 06-data-model.md|839f1b9|893126a||ACTIVE_DOCUMENTATION|KEEP|HIGH|MEDIUM|Architecture doc: 06-data-model.md||System documentation
docs/07-runbook.md|07-runbook.md|.md|6050|tracked||docs|07-runbook.md|||Architecture doc: 07-runbook.md|839f1b9|893126a||ACTIVE_DOCUMENTATION|KEEP|HIGH|MEDIUM|Architecture doc: 07-runbook.md||System documentation
docs/08-safety.md|08-safety.md|.md|3933|tracked||docs|08-safety.md|||Architecture doc: 08-safety.md|610d109|893126a||ACTIVE_DOCUMENTATION|KEEP|HIGH|MEDIUM|Architecture doc: 08-safety.md||System documentation
docs/09-next-mvp-steps.md|09-next-mvp-steps.md|.md|3731|tracked||docs|09-next-mvp-steps.md|||Architecture doc: 09-next-mvp-steps.md|839f1b9|299913e||ACTIVE_DOCUMENTATION|KEEP|HIGH|MEDIUM|Architecture doc: 09-next-mvp-steps.md||System documentation
docs/10-trade-history-ui-vision.md|10-trade-history-ui-vision.md|.md|6252|tracked||docs|10-trade-history-ui-vision.md|||Architecture doc: 10-trade-history-ui-vision.md|839f1b9|3396b11||ACTIVE_DOCUMENTATION|KEEP|HIGH|MEDIUM|Architecture doc: 10-trade-history-ui-vision.md||System documentation
docs/11-observability-isolated.md|11-observability-isolated.md|.md|3320|tracked||docs|11-observability-isolated.md|||Architecture doc: 11-observability-isolated.md|2483502|052a49d||ACTIVE_DOCUMENTATION|KEEP|HIGH|MEDIUM|Architecture doc: 11-observability-isolated.md||System documentation
docs/12-engine-tdd-migration-prompt.md|12-engine-tdd-migration-prompt.md|.md|6474|tracked||docs|12-engine-tdd-migration-prompt.md|||Engine TDD doc: 12-engine-tdd-migration-prompt.md|85a0279|85a0279||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: 12-engine-tdd-migration-prompt.md||TDD specification
docs/13-engine-tdd-migration-plan.md|13-engine-tdd-migration-plan.md|.md|11677|tracked||docs|13-engine-tdd-migration-plan.md|||Engine TDD doc: 13-engine-tdd-migration-plan.md|85a0279|85a0279||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: 13-engine-tdd-migration-plan.md||TDD specification
docs/README.md|README.md|.md|1521|tracked||docs|README.md|||Architecture doc: README.md|839f1b9|85a0279||ACTIVE_DOCUMENTATION|KEEP|HIGH|MEDIUM|Architecture doc: README.md||System documentation
docs/engine-tdd/gap-matrix.md|gap-matrix.md|.md|23394|tracked||docs|engine-tdd/gap-matrix.md|||Engine TDD doc: gap-matrix.md|0a0d1eb|347d8a3||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: gap-matrix.md||TDD specification
docs/engine-tdd/program.md|program.md|.md|3444|tracked||docs|engine-tdd/program.md|||Engine TDD doc: program.md|0a0d1eb|0a0d1eb||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: program.md||TDD specification
docs/engine-tdd/requirements/acceptance-boundary.md|acceptance-boundary.md|.md|1625|tracked||docs|engine-tdd/requirements/acceptance-boundary.md|||Engine TDD doc: acceptance-boundary.md|0a0d1eb|0a0d1eb||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: acceptance-boundary.md||TDD specification
docs/engine-tdd/requirements/credentials.md|credentials.md|.md|1038|tracked||docs|engine-tdd/requirements/credentials.md|||Engine TDD doc: credentials.md|0a0d1eb|7c08bb3||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: credentials.md||TDD specification
docs/engine-tdd/requirements/engine-core.md|engine-core.md|.md|716|tracked||docs|engine-tdd/requirements/engine-core.md|||Engine TDD doc: engine-core.md|0a0d1eb|0a0d1eb||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: engine-core.md||TDD specification
docs/engine-tdd/requirements/execution.md|execution.md|.md|3084|tracked||docs|engine-tdd/requirements/execution.md|||Engine TDD doc: execution.md|0a0d1eb|72d72a8||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: execution.md||TDD specification
docs/engine-tdd/requirements/metrics-publishing.md|metrics-publishing.md|.md|673|tracked||docs|engine-tdd/requirements/metrics-publishing.md|||Engine TDD doc: metrics-publishing.md|0a0d1eb|347d8a3||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: metrics-publishing.md||TDD specification
docs/engine-tdd/requirements/monitor-client.md|monitor-client.md|.md|1159|tracked||docs|engine-tdd/requirements/monitor-client.md|||Engine TDD doc: monitor-client.md|0a0d1eb|7c08bb3||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: monitor-client.md||TDD specification
docs/engine-tdd/requirements/plan-summary.md|plan-summary.md|.md|300|tracked||docs|engine-tdd/requirements/plan-summary.md|||Engine TDD doc: plan-summary.md|0a0d1eb|0a0d1eb||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: plan-summary.md||TDD specification
docs/engine-tdd/requirements/runtime-control.md|runtime-control.md|.md|606|tracked||docs|engine-tdd/requirements/runtime-control.md|||Engine TDD doc: runtime-control.md|0a0d1eb|0bad861||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: runtime-control.md||TDD specification
docs/engine-tdd/requirements/scheduler.md|scheduler.md|.md|364|tracked||docs|engine-tdd/requirements/scheduler.md|||Engine TDD doc: scheduler.md|0a0d1eb|347d8a3||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: scheduler.md||TDD specification
docs/engine-tdd/requirements/telemetry.md|telemetry.md|.md|470|tracked||docs|engine-tdd/requirements/telemetry.md|||Engine TDD doc: telemetry.md|0a0d1eb|0a0d1eb||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: telemetry.md||TDD specification
docs/engine-tdd/requirements/warmup.md|warmup.md|.md|1014|tracked||docs|engine-tdd/requirements/warmup.md|||Engine TDD doc: warmup.md|7cc4699|7cc4699||ACTIVE_DOCUMENTATION|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD doc: warmup.md||TDD specification
docs/superpowers/specs/2026-06-11-ui-unification-design.md|2026-06-11-ui-unification-design.md|.md|7154|tracked||docs|superpowers/specs/2026-06-11-ui-unification-design.md|||Design spec|ef344de|44f7053||ACTIVE_DOCUMENTATION|KEEP|HIGH|LOW|Design spec||Superpowers design doc
docs/superpowers/specs/2026-06-11-unified-settings-screen-design.md|2026-06-11-unified-settings-screen-design.md|.md|5304|tracked||docs|superpowers/specs/2026-06-11-unified-settings-screen-design.md|||Design spec|8c0c3f5|8c0c3f5||ACTIVE_DOCUMENTATION|KEEP|HIGH|LOW|Design spec||Superpowers design doc
engine-app/build.gradle|build.gradle|.gradle|4482|tracked||engine-app|build.gradle|||Module engine-app build config|a0ca722|e1fc281||ACTIVE_BUILD|KEEP_IMMUTABLE|VERIFIED|CRITICAL|Module engine-app build config||Gradle module build
engine-app/src/main/java/com/crypto/funding/engine/CredentialAwareExecutionPort.java|CredentialAwareExecutionPort.java|.java|694|tracked||engine-app|engine|main||Engine class: CredentialAwareExecutionPort|3396b11|7c08bb3||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: CredentialAwareExecutionPort||Engine production class
